Counties,Homicide,Offences against Morality,Other offences against person,Robbery,Breaking,Theft of Stock,Stealing,Theft by Servant,Theft of Vehicle and other thefts,Dangerous Drugs,Traffic offences,Criminal damage,Economic crimes,Corruption,Offences Involving police officers,Offences Involving Tourist,Other penal code offences,Total,Vehicle and other thefts,COUNTIES VS CATEGORY
Mombasa,25,280,348,85,119,4,460,64,51,269,42,79,180,4,0,1,220,2231,,
Kwale,52,230,243,17,44,26,101,16,11,23,0,44,23,0,0,2,78,910,,
kilifi,124,328,356,25,95,28,243,37,17,81,8,86,106,1,0,0,263,1798,,
Tana River,11,72,129,7,25,18,43,7,5,19,0,20,6,0,1,0,33,396,,
Lamu,9,64,103,14,27,13,44,2,2,36,0,15,7,0,4,0,40,380,,
Taita Taveta,22,130,238,32,34,30,97,16,13,87,7,48,27,5,0,0,77,863,,
Garrissa,13,28,225,13,12,3,77,0,0,23,4,25,15,0,0,0,60,498,,
Wajir,3,23,132,2,1,10,12,0,4,22,0,7,6,0,0,0,21,243,,
Mandera,12,36,123,11,4,0,16,5,0,46,1,4,10,1,2,0,34,305,,
Marsabit,33,68,203,19,33,14,72,8,10,53,0,25,15,0,9,0,59,621,,
Isiolo,18,52,131,19,29,16,48,11,11,24,1,16,15,1,0,0,39,431,,
Meru,131,294,1381,100,161,114,748,50,46,161,2,361,157,13,0,0,444,4163,,
Tharaka Nithi,32,113,272,10,65,29,95,16,6,72,0,71,21,0,0,0,123,925,,
Embu,90,150,509,39,74,24,201,27,33,103,0,91,56,2,0,9,120,1528,,
Kitui,105,251,461,69,99,63,177,9,11,84,12,100,41,1,0,0,233,1716,,
Machakos,83,319,734,128,186,73,317,88,57,255,7,184,99,13,0,2,297,2842,,
Makueni,89,232,314,29,84,38,137,21,9,87,17,48,38,0,4,1,158,1306,,
Nyandarua,89,203,306,29,123,69,175,22,9,79,0,70,50,0,0,0,99,1323,,
Nyeri,68,190,345,59,126,37,185,27,23,158,19,68,47,2,3,1,124,1482,,
Kirinyaga,48,121,457,32,74,22,151,48,10,166,1,99,82,1,1,0,139,1452,,
Muranga,145,271,466,62,137,42,238,30,21,316,2,94,37,0,0,0,218,2079,,
Kiambu,184,406,900,301,272,33,683,128,100,494,21,202,290,32,5,0,302,4353,,
Turkana,27,101,174,24,38,72,42,10,10,5,1,32,12,1,1,0,79,629,,
West Pokot,20,46,148,6,32,11,36,5,8,20,2,36,10,0,0,0,83,463,,
Samburu,31,24,108,16,19,39,29,9,4,31,0,16,10,0,0,1,43,380,,
Trans Nzoia,46,274,390,73,102,49,128,29,37,41,0,66,65,1,3,0,115,1419,,
