S/NO,OFFENCES (TYPE),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TOTAL,,
1,Homicide,2239,2641,2761,2878,2649,2648,2751,2774,2856,2082,2786,26983,,
2,Offences against Morality,4817,4703,4086,4779,5184,6164,6228,5492,7233,8407,9153,57839,,
3,Other offences against person,20012,20144,20698,19344,19911,21174,22295,22515,25049,27089,19501,210643,,
4,Robbery,2843,3262,3262,3551,3011,2865,2697,2713,2935,2082,2089,29228,,
5,Breaking,6453,7325,7578,6397,5656,5591,5621,6131,5970,5605,4179,60901,,
6,Theft of Stock,2244,2269,2377,1965,1848,1961,1918,2136,2077,1868,1393,20188,,
7,Stealing,11986,13797,14111,11455,10042,9528,10361,11656,12845,14012,8709,114490,,
8,Theft by Servant,2591,2889,2984,2702,2279,2184,2440,2632,2477,1868,1390,24568,,
9,Theft of Vehicle and parts,1365,1768,1663,1631,1239,1111,1355,1404,1370,934,696,13602,,
10,Dangerous Drugs,5081,4649,4181,4316,4850,5525,6160,5565,8021,6867,4179,52527,,
11,Traffic offences,103,100,66,45,100,120,139,69,213,395,285,1240,,
12,Criminal damage,3327,3345,3769,3603,3708,3983,4307,4262,4783,4349,3450,38537,,
13,Economic crimes,2662,3036,3369,2750,3037,3244,3503,3695,4100,4383,3482,32878,,
14,Corruption,62,52,49,55,144,79,92,75,119,388,195,922,,
15,Offences Involving police officers,37,27,69,97,47,71,57,86,174,179,79,744,,
16,Offences involving tourists,1,0,0,14,21,19,15,15,93,64,54,232,,
17,Other penal code offences,4956,5726,6109,6250,5650,6223,7047,6772,7953,7295,6790,63476,,
18,TOTAL,70779,75733,77132,71832,69376,72490,76986,77992,88268,87867,68410,748998,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,"ASSAULT, CREATING DISTURBANCE & AFFRAY = OTHER OFFENCES AGAINST PERSON",,,,,,,,,,,
